TAZ,AGG_TAZ,PUMA,DISTRICT,REGION,SCHOOLDISTRICT
8262,826,999,999,1,0
8271,827,999,999,1,0
8311,831,9,5,1,30
8312,831,9,5,1,30
8313,831,9,5,1,30
8314,831,999,999,1,30
8401,840,10,5,1,31
8402,840,10,5,1,31
8403,840,10,5,1,31
8404,840,10,5,1,31
8405,840,10,5,1,31
8406,840,10,5,1,31
8407,840,10,5,1,31
8408,840,10,5,1,31
8409,840,10,5,1,31
8410,841,16,6,1,31
8411,841,16,6,1,31
8412,841,16,6,1,31
8413,841,10,5,1,31
8414,841,10,5,1,31
8415,841,10,5,1,31
8416,841,10,5,1,31
8417,841,10,5,1,31
8421,842,999,999,1,31
8422,842,999,999,1,31
8423,842,999,999,1,31
8431,843,10,5,1,31
8432,843,10,5,1,31
8433,843,10,5,1,31
8434,843,10,5,1,31
8435,843,10,5,1,31
8436,843,999,999,1,31
8437,843,999,999,1,31
8438,843,9,5,1,31
8441,844,16,6,1,31
8442,844,16,6,1,31
8443,844,16,6,1,31
8444,844,16,6,1,31
8445,844,16,6,1,31
8446,844,999,999,1,31
8447,844,16,6,1,31
8448,844,16,6,1,31
8449,844,16,6,1,31
8451,845,10,5,1,31
8452,845,10,5,1,31
8453,845,10,5,1,31
8454,845,10,5,1,31
8455,845,16,6,1,31
8456,845,16,6,1,31
8457,845,16,6,1,31
8458,845,16,6,1,31
8459,845,16,6,1,31
8461,846,16,6,1,31
8462,846,16,6,1,31
8463,846,16,6,1,31
8464,846,16,6,1,31
8465,846,16,6,1,31
8466,846,999,999,1,31
8467,846,999,999,1,31
8471,847,16,6,1,31
8472,847,16,6,1,31
8473,847,16,6,1,31
